Area_SqFt,Rooms,Build_Year,Location,Street_Type,Furnishing,Property_Type,Has_Pool,Price,Property_Age,Price_per_SqFt
2342.935537,2.0,2019,Indore,Highway Facing,Unfurnished,Apartment,0,513401.0,5,219.1272409728275
2669.698783,7.0,2009,Prayagraj,Residential Lane,Furnished,Independent House,0,741340.0,15,277.68675804202144
2777.141066,2.0,2020,Delhi,Gated Society,Furnished,Apartment,0,767737.0,4,276.44868652847896
2676.976224,2.0,1996,Kanpur,Gated Society,Semi-Furnished,Duplex,0,664507.0,28,248.23044524731648
1134.993085,2.0,2012,Delhi,Gated Society,Furnished,Independent House,0,471846.0,12,415.72588083212855
3013.916826,2.0,2012,Kanpur,Gated Society,Unfurnished,Independent House,0,692447.0,12,229.74987034363502
2129.817363,7.0,2015,Delhi,Corner Plot,Furnished,Apartment,0,686516.0,9,322.3356199110862
1954.416776,3.0,2009,Kanpur,Residential Lane,Unfurnished,Apartment,0,428810.0,15,219.40560747622234
2549.311903,3.0,2011,Noida,Main Road,Unfurnished,Apartment,0,583833.0,13,229.01591575081585
2447.375721,3.0,2010,Delhi,Gated Society,Semi-Furnished,Apartment,0,720548.0,14,294.41658418740195
1549.203908,7.0,2000,Gurugram,Corner Plot,Semi-Furnished,Apartment,1,553767.0,24,357.4526226924545
1539.927544,3.0,2006,Kanpur,Main Road,Furnished,Villa,0,551212.0,18,357.94671129020344
1708.78385,2.0,1992,Lucknow,Corner Plot,Semi-Furnished,Apartment,0,376354.0,32,220.24669767331895
2225.064512,4.0,2024,Prayagraj,Residential Lane,Semi-Furnished,Apartment,0,509383.0,0,228.92954215612426
1836.017444,5.0,2010,Prayagraj,Main Road,Semi-Furnished,Apartment,1,524827.0,14,285.8507699450812
2136.489625,7.0,2009,Prayagraj,Main Road,Unfurnished,Independent House,0,603139.0,15,282.303734566462
3367.185908,4.0,1996,Gurugram,Gated Society,Furnished,Apartment,0,851078.0,28,252.7564628902575
2584.50081,5.0,2017,Prayagraj,Residential Lane,Semi-Furnished,Independent House,0,654808.0,7,253.3595646271049
2129.373319,3.0,2003,Delhi,Gated Society,Semi-Furnished,Independent House,0,638105.0,21,299.66797945024877
2389.237472,5.0,2008,Gurugram,Corner Plot,Furnished,Villa,0,797935.0,16,333.97056983710326
2445.459141,2.0,2017,Gurugram,Corner Plot,Furnished,Apartment,0,650435.0,7,265.9766377180293
1969.820115,3.0,2019,Noida,Gated Society,Unfurnished,Apartment,0,528162.0,5,268.1270213346359
1875.849384,5.0,1995,Lucknow,Main Road,Unfurnished,Apartment,0,470946.0,29,251.05746976112235
2503.455356,4.0,2019,Noida,Main Road,Unfurnished,Apartment,0,611440.0,5,244.23842771334805
3054.072877,2.0,2019,Delhi,Main Road,Semi-Furnished,Villa,1,894422.0,5,292.8620357214875
2575.074134,2.0,2020,Delhi,Highway Facing,Furnished,Apartment,1,701929.0,4,272.58593868505693
3251.774702,6.0,1989,Delhi,Corner Plot,Semi-Furnished,Villa,0,942094.0,35,289.71687350312624
2543.265899,6.0,2023,Noida,Gated Society,Semi-Furnished,Independent House,0,779298.0,1,306.41625018698056
2688.941362,2.0,2022,Prayagraj,Residential Lane,Semi-Furnished,Duplex,1,679739.0,2,252.79056271216672
5648.321783,7.0,2003,Prayagraj,Main Road,Unfurnished,Apartment,0,1355674.054,21,240.01360157635338
2302.416789,5.0,1990,Gurugram,Gated Society,Semi-Furnished,Independent House,0,690306.0,34,299.818001370559
1764.554012,7.0,1987,Noida,Corner Plot,Semi-Furnished,Independent House,0,544324.0,37,308.4768141401613
2556.15696,2.0,1987,Kanpur,Main Road,Semi-Furnished,Apartment,0,532557.0,37,208.34283979180998
2011.23932,5.0,2016,Jaipur,Gated Society,Furnished,Duplex,0,698661.0,8,347.3783517716828
2107.561066,4.0,2004,Jaipur,Main Road,Furnished,Apartment,1,587094.0,20,278.56559388538255
2990.21507,4.0,1996,Indore,Corner Plot,Furnished,Apartment,0,662008.0,28,221.3914332255706
2454.498373,3.0,2012,Delhi,Corner Plot,Unfurnished,Independent House,1,678874.0,12,276.58360154879597
1148.011416,5.0,1997,Prayagraj,Gated Society,Unfurnished,Villa,0,453967.0,27,395.4377052989166
1473.871736,7.0,1989,Delhi,Main Road,Semi-Furnished,Duplex,1,648863.0,35,440.2438720759891
2954.807788,2.0,2006,Delhi,Gated Society,Furnished,Apartment,0,744065.0,18,251.81502601346196
2320.275701,6.0,2015,Gurugram,Gated Society,Semi-Furnished,Independent House,0,722931.0,9,311.57116358561564
1845.648651,6.0,1998,Delhi,Highway Facing,Furnished,Apartment,1,641824.0,26,347.74982749411714
2384.771809,3.0,2012,Jaipur,Residential Lane,Semi-Furnished,Independent House,0,598958.0,12,251.1594600957479
1915.148259,2.0,1989,Gurugram,Main Road,Semi-Furnished,Independent House,1,581398.0,35,303.57858576629394
2968.236468,7.0,1986,Jaipur,Corner Plot,Unfurnished,Independent House,0,713664.0,38,240.43367423514857
2652.843884,4.0,2018,Kanpur,Main Road,Unfurnished,Apartment,0,631656.0,6,238.1052288111199
2739.851057,6.0,2013,Indore,Main Road,Semi-Furnished,Apartment,1,715326.0,11,261.0820753093222
2411.235997,6.0,1986,Gurugram,Highway Facing,Furnished,Apartment,0,646834.0,38,268.25827119567504
1594.311452,2.0,1987,Gurugram,Gated Society,Unfurnished,Independent House,0,473554.0,37,297.0272837254888
2538.85866,3.0,2012,Kanpur,Gated Society,Semi-Furnished,Independent House,0,633278.0,12,249.43412958640243
2632.318676,2.0,1998,Gurugram,Main Road,Furnished,Independent House,0,691849.0,26,262.8287396613069
2267.378024,4.0,2001,Delhi,Main Road,Semi-Furnished,Duplex,0,722050.0,23,318.4515296334194
2639.830172,7.0,2010,Kanpur,Residential Lane,Semi-Furnished,Apartment,0,636412.0,14,241.0806599417866
2668.271151,7.0,2002,Gurugram,Highway Facing,Furnished,Apartment,0,716306.0,22,268.453226626367
2097.202183,2.0,2001,Noida,Corner Plot,Furnished,Apartment,1,564036.0,23,268.9468877021477
1002.825236,2.0,2002,Jaipur,Residential Lane,Semi-Furnished,Independent House,1,337270.0,22,336.3198171450883
1095.837588,6.0,1990,Indore,Residential Lane,Furnished,Independent House,0,415465.0,34,379.1300869303636
2473.117987,6.0,2006,Kanpur,Corner Plot,Unfurnished,Apartment,1,603065.0,18,243.84805058635482
2638.616312,7.0,2014,Gurugram,Main Road,Semi-Furnished,Independent House,1,823165.0,10,311.9684344617968
2883.083829,6.0,1990,Lucknow,Highway Facing,Furnished,Independent House,0,731411.0,34,253.69050758877535
3215.839182,7.0,2022,Gurugram,Corner Plot,Furnished,Independent House,0,920438.0,2,286.2201583810418
2201.545784,6.0,2007,Noida,Gated Society,Semi-Furnished,Apartment,0,521253.0,17,236.76682256088844
2160.57928,7.0,2019,Delhi,Gated Society,Unfurnished,Duplex,0,723076.0,5,334.6676545005097
2404.13023,2.0,2018,Gurugram,Main Road,Semi-Furnished,Independent House,1,683072.0,6,284.12437540873145
2134.081994,5.0,2021,Kanpur,Highway Facing,Furnished,Villa,1,661582.0,3,310.0077700201054
2201.545784,5.0,2009,Delhi,Residential Lane,Unfurnished,Apartment,0,649645.0,15,295.08584591852394
1827.972839,7.0,2017,Jaipur,Main Road,Furnished,Duplex,0,598689.0,7,327.51526019802094
2656.17307,4.0,2023,Kanpur,Highway Facing,Semi-Furnished,Apartment,1,607511.0,1,228.71664759405155
2386.173024,6.0,2017,Jaipur,Highway Facing,Unfurnished,Apartment,0,578836.0,7,242.57922379395734
1599.735259,2.0,1988,Noida,Gated Society,Unfurnished,Apartment,0,387446.0,36,242.19382414699905
2907.83623,6.0,2013,Lucknow,Gated Society,Semi-Furnished,Independent House,1,806607.0,11,277.39079377245395
2427.389197,4.0,2011,Gurugram,Residential Lane,Furnished,Apartment,0,673112.0,13,277.298754081915
1276.297395,4.0,1996,Indore,Residential Lane,Semi-Furnished,Apartment,0,315242.0,28,246.99729172447303
3180.18999,6.0,1992,Delhi,Corner Plot,Semi-Furnished,Apartment,0,804859.0,32,253.08519381887623
2018.899461,3.0,2020,Delhi,Main Road,Unfurnished,Independent House,1,631937.0,4,313.01063386632904
1269.144454,2.0,1993,Delhi,Gated Society,Semi-Furnished,Apartment,1,472178.0,31,372.044331527292
2778.480907,7.0,1986,Gurugram,Residential Lane,Unfurnished,Independent House,0,717074.0,38,258.0813127754201
2459.428458,5.0,1990,Delhi,Main Road,Unfurnished,Apartment,1,636161.0,34,258.66212856515625
1830.142683,2.0,1991,Delhi,Main Road,Semi-Furnished,Duplex,0,546034.0,33,298.35597249987745
1463.204326,2.0,2016,Jaipur,Highway Facing,Furnished,Duplex,1,504457.0,8,344.7618292511801
1884.485896,6.0,2013,Indore,Highway Facing,Furnished,Villa,0,640564.0,11,339.91445696656996
2963.720248,5.0,2014,Jaipur,Corner Plot,Furnished,Duplex,0,745201.0,10,251.4410732601642
2117.567118,3.0,2003,Lucknow,Main Road,Furnished,Apartment,0,533862.0,21,252.1110171488789
2714.623116,2.0,1987,Gurugram,Gated Society,Semi-Furnished,Apartment,1,699320.0,37,257.61218781281457
2729.53488,5.0,1992,Indore,Highway Facing,Unfurnished,Duplex,1,693222.0,32,253.97074244385547
2048.304739,3.0,1991,Delhi,Gated Society,Furnished,Apartment,0,571059.0,33,278.79591797400025
1281.621455,3.0,1985,Lucknow,Highway Facing,Furnished,Apartment,0,365456.0,39,285.15128127283106
1343.853955,6.0,2021,Kanpur,Main Road,Semi-Furnished,Apartment,0,435202.0,3,323.8462024692259
2734.50248,2.0,2001,Indore,Residential Lane,Semi-Furnished,Apartment,0,559053.0,23,204.44413712874012
2293.975991,5.0,2010,Prayagraj,Residential Lane,Furnished,Apartment,0,553604.0,14,241.32946559683504
1303.723858,2.0,2021,Noida,Corner Plot,Furnished,Apartment,0,425004.0,3,325.99234676274517
2340.816354,5.0,1991,Delhi,Residential Lane,Semi-Furnished,Villa,0,746435.0,33,318.8780694925032
1179.867808,7.0,1985,Lucknow,Highway Facing,Furnished,Apartment,1,404564.0,39,342.8892603534785
1692.221715,2.0,2023,Kanpur,Residential Lane,Semi-Furnished,Duplex,0,438470.0,1,259.1090730684779
2172.605252,3.0,2020,Gurugram,Highway Facing,Unfurnished,Villa,0,647925.0,4,298.2249073565252
1935.932576,5.0,1993,Delhi,Main Road,Semi-Furnished,Independent House,0,601040.0,31,310.46535785965307
1761.67671,3.0,2021,Gurugram,Residential Lane,Furnished,Apartment,1,549138.0,3,311.71326548331336
2565.055468,2.0,1996,Indore,Highway Facing,Semi-Furnished,Villa,0,670293.0,28,261.3171560467791
2907.447737,7.0,1992,Delhi,Corner Plot,Furnished,Duplex,1,912260.0,32,313.7666030555376
2436.290021,3.0,2005,Jaipur,Gated Society,Semi-Furnished,Apartment,0,588271.0,19,241.46181075705357
2092.198553,6.0,2002,Lucknow,Highway Facing,Furnished,Villa,0,660047.0,22,315.4800958319944
2201.545784,4.0,2018,Gurugram,Residential Lane,Semi-Furnished,Apartment,0,584395.0,6,265.44757971747003
2426.913718,5.0,2006,Noida,Main Road,Unfurnished,Independent House,0,643510.0,18,265.1556976365486
2245.256194,4.0,2023,Prayagraj,Main Road,Semi-Furnished,Independent House,1,652525.0,1,290.6238502954554
2705.905131,5.0,1994,Jaipur,Corner Plot,Semi-Furnished,Apartment,1,610312.0,30,225.5481882967759
2034.801732,7.0,1988,Prayagraj,Main Road,Furnished,Duplex,0,595978.0,36,292.89241827714346
1675.597456,4.0,2021,Gurugram,Corner Plot,Semi-Furnished,Duplex,0,573055.0,3,342.00039988602134
2172.79496,6.0,2018,Lucknow,Corner Plot,Furnished,Duplex,1,716450.0,6,329.736589595182
2841.906603,6.0,1994,Delhi,Residential Lane,Furnished,Duplex,1,880323.0,30,309.7649300194121
2457.709921,7.0,2007,Gurugram,Corner Plot,Unfurnished,Apartment,0,667335.0,17,271.52716205355625
2981.277336,7.0,2001,Indore,Highway Facing,Furnished,Apartment,1,753756.0,23,252.82988298274844
3496.557001,7.0,2021,Delhi,Highway Facing,Furnished,Independent House,1,1031661.0,3,295.0505310523894
2162.037617,2.0,1989,Noida,Corner Plot,Semi-Furnished,Apartment,0,496390.0,35,229.59360008212104
2181.780165,7.0,2021,Prayagraj,Corner Plot,Furnished,Duplex,1,740422.0,3,339.3659965737199
700.0,6.0,1987,Noida,Highway Facing,Unfurnished,Independent House,0,310136.0,37,443.0514285714286
2805.911193,5.0,2017,Indore,Main Road,Furnished,Apartment,1,735009.0,7,261.95020064556974
1689.451802,6.0,2015,Noida,Highway Facing,Furnished,Duplex,0,623800.0,9,369.23219665783637
1754.073244,3.0,2016,Gurugram,Main Road,Semi-Furnished,Apartment,1,557654.0,8,317.9194494343476
2078.341468,4.0,2014,Delhi,Residential Lane,Furnished,Independent House,1,689116.0,10,331.57015370681137
2296.550206,3.0,1988,Delhi,Corner Plot,Furnished,Independent House,0,657932.0,36,286.48709628950303
2857.275646,4.0,2002,Indore,Gated Society,Semi-Furnished,Independent House,0,686692.0,22,240.3310303510003
1262.202332,6.0,1995,Jaipur,Highway Facing,Furnished,Apartment,0,428089.0,29,339.1603621280585
2137.85452,5.0,2001,Delhi,Gated Society,Semi-Furnished,Apartment,1,644165.0,23,301.31376759911615
2334.090393,7.0,1995,Delhi,Corner Plot,Furnished,Independent House,0,728983.0,29,312.3199522118936
1184.275161,3.0,2022,Prayagraj,Highway Facing,Furnished,Independent House,1,422769.0,2,356.98544892473683
2722.776515,4.0,1992,Delhi,Main Road,Furnished,Apartment,1,739726.0,32,271.68076260566687
3094.585709,4.0,2013,Prayagraj,Corner Plot,Unfurnished,Apartment,1,642562.0,11,207.6407184752497
3100.962012,5.0,2020,Indore,Main Road,Furnished,Independent House,0,833192.0,4,268.6882318376495
2689.905946,4.0,1997,Prayagraj,Residential Lane,Semi-Furnished,Apartment,1,571063.0,27,212.29850093799527
2868.335255,5.0,2022,Gurugram,Highway Facing,Furnished,Apartment,0,775458.0,2,270.35124246659933
3521.114455,5.0,2017,Indore,Residential Lane,Furnished,Independent House,0,852194.0,7,242.0239418204314
2064.05244,2.0,1997,Kanpur,Residential Lane,Unfurnished,Apartment,1,421054.0,27,203.99384814079627
2705.616578,3.0,2024,Gurugram,Highway Facing,Furnished,Duplex,0,779556.0,0,288.1250825925417
2232.796703,3.0,1996,Noida,Corner Plot,Unfurnished,Apartment,0,503659.0,28,225.5731564469262
2262.993351,5.0,2006,Gurugram,Main Road,Furnished,Apartment,0,626841.0,18,276.996394939916
2557.654866,5.0,1997,Gurugram,Residential Lane,Furnished,Independent House,0,739390.0,27,289.0890439632914
2514.156656,6.0,2016,Noida,Residential Lane,Semi-Furnished,Apartment,0,664703.0,8,264.3840821985756
1930.665289,5.0,1994,Prayagraj,Gated Society,Semi-Furnished,Apartment,0,544813.0,30,282.1892552293149
2014.8575,6.0,2015,Indore,Corner Plot,Semi-Furnished,Independent House,0,593006.0,9,294.316595590507
2215.728227,3.0,2016,Noida,Gated Society,Semi-Furnished,Independent House,0,673675.0,8,304.0422520193854
2924.31896,3.0,1996,Noida,Gated Society,Semi-Furnished,Apartment,0,702685.0,28,240.290135792848
2471.716602,3.0,1998,Jaipur,Gated Society,Semi-Furnished,Independent House,0,610801.0,26,247.11611335448723
2498.980085,7.0,2023,Noida,Main Road,Semi-Furnished,Duplex,0,771345.0,1,308.6639243865763
2644.011219,2.0,2024,Lucknow,Gated Society,Furnished,Apartment,0,628098.0,0,237.55496780288055
2117.26908,3.0,2013,Kanpur,Main Road,Semi-Furnished,Apartment,0,516228.0,11,243.81785238180495
3025.417885,7.0,2004,Gurugram,Gated Society,Semi-Furnished,Independent House,0,876479.0,20,289.7051030026551
2588.966426,5.0,1999,Gurugram,Gated Society,Furnished,Duplex,0,802079.0,25,309.8066440510882
2023.107275,3.0,2013,Gurugram,Gated Society,Unfurnished,Apartment,0,538241.0,11,266.04669295156384
1876.180055,5.0,2004,Indore,Highway Facing,Furnished,Duplex,0,532480.0,20,283.8107134658779
2703.980221,4.0,2007,Lucknow,Gated Society,Furnished,Duplex,0,749753.0,17,277.277545958795
1797.023695,6.0,1985,Prayagraj,Gated Society,Unfurnished,Apartment,0,454562.0,39,252.95270244057633
2143.43571,3.0,2001,Jaipur,Main Road,Semi-Furnished,Duplex,0,600736.0,23,280.26779492257316
2808.039263,4.0,2015,Prayagraj,Gated Society,Semi-Furnished,Apartment,0,679814.0,9,242.09561773495756
2388.335271,2.0,2017,Indore,Gated Society,Unfurnished,Independent House,0,569691.0,7,238.53058107770164
2510.421643,6.0,2022,Kanpur,Highway Facing,Unfurnished,Villa,0,722076.0,2,287.63136344582574
2036.340073,4.0,1985,Kanpur,Main Road,Furnished,Independent House,1,597304.0,39,293.32232269044977
2844.36929,4.0,2013,Delhi,Main Road,Semi-Furnished,Apartment,0,773697.0,11,272.0100384714813
1546.332303,7.0,1994,Delhi,Highway Facing,Semi-Furnished,Duplex,0,591557.0,30,382.55490029687365
2249.284488,5.0,2020,Indore,Residential Lane,Semi-Furnished,Independent House,0,581606.0,4,258.57378339773624
2051.17006,5.0,1999,Gurugram,Highway Facing,Furnished,Duplex,1,728523.0,25,355.17435351021066
2201.545784,6.0,1988,Lucknow,Highway Facing,Unfurnished,Independent House,0,477505.0,36,216.89533030397337
1744.089556,7.0,2002,Prayagraj,Corner Plot,Unfurnished,Independent House,0,500679.0,22,287.0718411663948
1902.822799,2.0,2020,Kanpur,Main Road,Semi-Furnished,Independent House,0,510752.0,4,268.41805777627746
2201.545784,5.0,1993,Jaipur,Residential Lane,Furnished,Apartment,0,606210.0,31,275.35652649411355
2297.081202,2.0,2010,Lucknow,Residential Lane,Semi-Furnished,Duplex,0,573252.0,14,249.55669808315292
2765.861062,4.0,2020,Jaipur,Residential Lane,Furnished,Apartment,1,708111.0,4,256.01828296030294
2155.857525,6.0,2001,Prayagraj,Highway Facing,Semi-Furnished,Independent House,1,627133.0,23,290.8972382115094
1893.379518,6.0,2009,Gurugram,Gated Society,Semi-Furnished,Apartment,0,571752.0,15,301.97432398759054
3139.700503,4.0,2023,Kanpur,Highway Facing,Semi-Furnished,Apartment,0,691921.0,1,220.37802629227403
2293.018228,5.0,2024,Lucknow,Highway Facing,Semi-Furnished,Apartment,0,585872.0,0,255.50254805911644
2839.057981,6.0,1986,Lucknow,Highway Facing,Semi-Furnished,Apartment,0,616503.0,38,217.1505492758022
3129.300349,5.0,1987,Noida,Corner Plot,Semi-Furnished,Independent House,1,825744.0,37,263.8749585874283
2056.725791,7.0,2020,Prayagraj,Main Road,Furnished,Apartment,0,620294.0,4,301.59295065697944
2887.027353,5.0,2001,Indore,Corner Plot,Semi-Furnished,Apartment,0,650663.0,23,225.37472647215338
2201.545784,7.0,2005,Kanpur,Residential Lane,Unfurnished,Duplex,1,568631.0,19,258.28715629381617
2285.485032,5.0,2018,Lucknow,Main Road,Furnished,Apartment,1,690971.0,6,302.33013575912145
1354.951543,2.0,1993,Gurugram,Corner Plot,Furnished,Duplex,0,448660.0,31,331.12623275561674
2400.915546,5.0,2021,Lucknow,Main Road,Furnished,Villa,0,781802.0,3,325.62661410665044
2705.492066,7.0,1998,Indore,Corner Plot,Unfurnished,Apartment,0,624964.0,26,230.99827489939497
2591.749319,3.0,2009,Delhi,Corner Plot,Semi-Furnished,Apartment,0,660279.0,15,254.7619073957206
2357.804586,7.0,2009,Noida,Gated Society,Furnished,Apartment,0,705924.0,15,299.3988578152676
2231.157459,5.0,1997,Lucknow,Residential Lane,Furnished,Duplex,0,626943.0,27,280.9945113784101
1288.961924,4.0,1989,Noida,Main Road,Furnished,Duplex,0,506229.0,35,392.7416245384763
2281.767101,2.0,2007,Gurugram,Gated Society,Furnished,Apartment,1,645451.0,17,282.8733045178567
2366.347343,5.0,2017,Jaipur,Main Road,Furnished,Apartment,0,618440.0,7,261.3479385557812
2469.849922,7.0,2023,Prayagraj,Corner Plot,Semi-Furnished,Independent House,0,664271.0,1,268.9519691391192
2409.197192,7.0,1998,Prayagraj,Gated Society,Furnished,Apartment,1,637727.0,26,264.7051898107973
1984.639357,6.0,1994,Indore,Gated Society,Furnished,Apartment,0,556562.0,30,280.4348296515214
5505.772234,5.0,1995,Lucknow,Gated Society,Semi-Furnished,Apartment,0,1284263.922,29,233.2577279657951
2842.519747,4.0,2013,Kanpur,Residential Lane,Unfurnished,Duplex,0,651321.0,11,229.13508364802226
2828.27955,5.0,2013,Noida,Residential Lane,Furnished,Villa,0,817116.0,11,288.9092063052961
2189.908039,4.0,2006,Jaipur,Main Road,Furnished,Independent House,0,638196.0,18,291.42593599109574
2452.984679,2.0,2007,Prayagraj,Main Road,Semi-Furnished,Independent House,0,565138.0,17,230.38790451409906
2132.342342,2.0,1989,Indore,Residential Lane,Semi-Furnished,Duplex,0,506117.0,35,237.35260048594955
1864.01056,3.0,1989,Kanpur,Residential Lane,Furnished,Apartment,0,440623.0,35,236.38439044036318
2533.922105,3.0,1999,Delhi,Corner Plot,Semi-Furnished,Villa,1,812307.0,25,320.57299567225647
2450.738275,7.0,1994,Lucknow,Highway Facing,Unfurnished,Independent House,0,667703.0,30,272.44973762039115
3040.657635,5.0,2018,Jaipur,Main Road,Unfurnished,Apartment,1,746659.0,6,245.55839217327735
1625.354943,5.0,2009,Lucknow,Corner Plot,Furnished,Apartment,1,469769.0,15,289.0254845707262
2369.073684,4.0,2016,Jaipur,Main Road,Furnished,Independent House,0,675517.0,8,285.1397170810834
1517.274551,7.0,1992,Kanpur,Corner Plot,Furnished,Apartment,0,458809.0,32,302.39022970339136
1744.345477,5.0,2013,Noida,Gated Society,Semi-Furnished,Apartment,0,558550.0,11,320.20606431738406
2192.638461,5.0,1997,Prayagraj,Gated Society,Semi-Furnished,Independent House,0,600130.0,27,273.7022134174814
2289.468499,2.0,2021,Noida,Residential Lane,Furnished,Apartment,1,597091.0,3,260.7989584747722
2085.037208,3.0,2018,Noida,Gated Society,Semi-Furnished,Independent House,1,644197.0,6,308.9618724923972
2201.545784,6.0,1993,Kanpur,Residential Lane,Unfurnished,Apartment,0,418266.0,31,189.98741840383184
1768.305928,3.0,2004,Gurugram,Highway Facing,Unfurnished,Apartment,0,464564.0,20,262.7169838905839
3149.830118,7.0,2019,Kanpur,Gated Society,Furnished,Apartment,1,837376.0,5,265.84798818664416
1971.093298,2.0,1991,Kanpur,Highway Facing,Furnished,Independent House,0,461943.0,33,234.35876955632568
3223.723578,7.0,2008,Noida,Highway Facing,Furnished,Villa,0,981429.0,16,304.4395638316109
1749.990614,7.0,2008,Kanpur,Residential Lane,Semi-Furnished,Villa,0,592138.0,16,338.36638623251497
700.0,5.0,2014,Jaipur,Main Road,Furnished,Apartment,0,340017.0,10,485.73857142857145
3032.397359,4.0,2017,Lucknow,Corner Plot,Unfurnished,Apartment,0,677986.0,7,223.58085690444634
2831.075132,4.0,2023,Indore,Gated Society,Furnished,Apartment,0,708317.0,1,250.19364268853323
2277.487436,6.0,2003,Kanpur,Residential Lane,Unfurnished,Villa,0,605316.0,21,265.78236631817805
2482.480059,3.0,1989,Noida,Corner Plot,Furnished,Duplex,0,660858.0,35,266.2087848819252
2254.948049,5.0,1990,Kanpur,Corner Plot,Furnished,Apartment,1,579518.0,34,256.998381961393
2170.44052,6.0,2014,Noida,Corner Plot,Furnished,Apartment,0,647913.0,10,298.51681906491496
1611.912173,2.0,1997,Delhi,Gated Society,Unfurnished,Apartment,0,417087.0,27,258.7529314477111
2779.181588,6.0,1988,Gurugram,Residential Lane,Semi-Furnished,Independent House,0,768052.0,36,276.3590559596065
2837.885185,7.0,2021,Noida,Gated Society,Semi-Furnished,Apartment,0,779435.0,3,274.65346523523993
1466.763479,2.0,2005,Delhi,Gated Society,Furnished,Apartment,0,530484.0,19,361.6697631179567
1795.974633,7.0,2017,Prayagraj,Gated Society,Unfurnished,Independent House,0,543491.0,7,302.61618956841914
2297.042855,2.0,2018,Kanpur,Residential Lane,Semi-Furnished,Apartment,1,523061.0,6,227.7105970667665
1953.39088,4.0,2023,Indore,Corner Plot,Semi-Furnished,Duplex,0,606991.0,1,310.73709118576414
2192.518441,6.0,2004,Lucknow,Corner Plot,Semi-Furnished,Apartment,0,584486.0,20,266.5820223310952
2001.739628,2.0,2024,Noida,Main Road,Furnished,Apartment,0,564119.0,0,281.81437391216997
2685.710377,2.0,2019,Lucknow,Main Road,Semi-Furnished,Apartment,1,639627.0,5,238.15933597221232
1453.428372,5.0,1994,Lucknow,Corner Plot,Unfurnished,Apartment,1,398487.0,30,274.17037377057613
2777.309798,7.0,2024,Lucknow,Corner Plot,Semi-Furnished,Apartment,0,684666.0,0,246.52129211262016
1338.88047,4.0,2024,Lucknow,Main Road,Furnished,Apartment,0,454958.0,0,339.8047922829138
2629.989621,6.0,1988,Kanpur,Highway Facing,Unfurnished,Villa,0,699816.0,36,266.0907839377363
2201.545784,6.0,2005,Noida,Corner Plot,Unfurnished,Duplex,0,697713.0,19,316.91959579978464
1725.943792,6.0,2009,Lucknow,Main Road,Unfurnished,Apartment,1,507814.0,15,294.22395002304916
2361.366676,5.0,2013,Kanpur,Residential Lane,Furnished,Villa,0,696897.0,11,295.124432424234
